,game,model,experiment,episode,metric,value
0,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,Request Count,4.0
1,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,Parsed Request Count,4.0
2,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,Violated Request Count,0.0
3,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,Request Success Ratio,1.0
4,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,Aborted,0.0
5,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,Lose,0.0
6,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,Success,1.0
7,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,Main Score,100.0
8,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,accuracy,100.0
9,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,efficiency,0.5
10,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,slack,2.0
11,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,turns_used,3.0
12,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,max_turns,5.0
13,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,parse_error_count,0.0
14,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,runtime_error_count,0.0
15,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,internal_consistency_score,1.0
16,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,internal_consistency_all_observed,1.0
17,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00000,internal_consistency_violations,0.0
18,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,Request Count,4.0
19,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,Parsed Request Count,4.0
20,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,Violated Request Count,0.0
21,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,Request Success Ratio,1.0
22,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,Aborted,0.0
23,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,Lose,0.0
24,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,Success,1.0
25,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,Main Score,100.0
26,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,accuracy,100.0
27,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,efficiency,0.5
28,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,slack,2.0
29,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,turns_used,3.0
30,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,max_turns,5.0
31,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,parse_error_count,0.0
32,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,runtime_error_count,0.0
33,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,internal_consistency_score,1.0
34,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,internal_consistency_all_observed,1.0
35,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00001,internal_consistency_violations,0.0
36,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,Request Count,5.0
37,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,Parsed Request Count,5.0
38,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,Violated Request Count,0.0
39,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,Request Success Ratio,1.0
40,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,Aborted,0.0
41,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,Lose,0.0
42,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,Success,1.0
43,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,Main Score,100.0
44,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,accuracy,100.0
45,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,efficiency,0.25
46,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,slack,1.0
47,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,turns_used,4.0
48,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,max_turns,5.0
49,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,parse_error_count,0.0
50,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,runtime_error_count,0.0
51,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,internal_consistency_score,1.0
52,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,internal_consistency_all_observed,1.0
53,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00002,internal_consistency_violations,0.0
54,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,Request Count,5.0
55,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,Parsed Request Count,5.0
56,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,Violated Request Count,0.0
57,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,Request Success Ratio,1.0
58,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,Aborted,0.0
59,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,Lose,0.0
60,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,Success,1.0
61,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,Main Score,100.0
62,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,accuracy,100.0
63,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,efficiency,0.25
64,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,slack,1.0
65,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,turns_used,4.0
66,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,max_turns,5.0
67,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,parse_error_count,0.0
68,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,runtime_error_count,0.0
69,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,internal_consistency_score,1.0
70,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,internal_consistency_all_observed,1.0
71,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00003,internal_consistency_violations,0.0
72,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00004,Request Count,4.0
73,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00004,Parsed Request Count,4.0
74,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00004,Violated Request Count,0.0
75,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00004,Request Success Ratio,1.0
76,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00004,Aborted,0.0
77,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00004,Lose,1.0
78,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00004,Success,0.0
79,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00004,Main Score,0.0
80,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00004,accuracy,85.0
81,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00004,efficiency,0.5
82,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00004,slack,2.0
83,Functionigma Game,command-a-03-2025-t0.0,python_easy,instance_00004,turns_used,3.0
